Code,Name,Type,Description
0x90,Hue,RW,Also known as tint Increasing (decreasing) this control increases (decreases) the wavelength of the color component of the video signal.
0x91,Audio Bass,RW,Allows control of the low frequency component of the audio.
0x92,TV-Black Level / Luminance,RW,"Increasing this control increases the black level of the video, resulting in an increase of the luminance level of the video."
0x93,Audio Balance L / R,RW,This control affects the left right balance of audio output. Increasing (decreasing) the value will cause the balance to move to the right (left).
0x94,Audio Processor Mode,RW,This control allows one of several audio processing modes to be selected.
0x95,Window Position (TL_X),RW,Defines the top left X pixel of an area of the image. Specified in coordinates of incoming image before any scaling etc. in the display.
0x96,Window Position (TL_Y),RW,Defines the top left Y pixel of an area of the image. Specified in coordinates of incoming image before any scaling etc. in the display.
0x97,Window Position (BR_X),RW,Defines the bottom right X pixel of an area of the image. Specified in co-ordinates of the incoming image before any scaling etc. in the display.
0x98,Window Position (BR_Y),RW,Defines the bottom right Y pixel of an area of the image. Specified in co-ordinates of the incoming image before any processing (e.g. scaling) in the display
0x9A,Window Background,RW,Changes the contrast ratio between the area of the window and the rest of the desktop
0x9B,6 Axis Hue Control: Red,RW,Adjust the red hue for 6-axis color
0x9C,6 Axis Hue Control: Yellow,RW,Adjust the yellow hue for 6-axis color
0x9D,6 Axis Hue Control: Green,RW,Adjust the green hue for 6-axis color
0x9E,6 Axis Hue Control: Cyan,RW,Adjust the cyan hue for 6-axis color
0x9F,6 Axis Hue Control: Blue,RW,Adjust the blue hue for 6-axis color
0xA0,6 Axis Hue Control: Magenta,RW,Adjust the magenta hue for 6-axis color
0xA2,Auto Setup On / Off,WO,Turn on / off the auto setup function (periodic or event driven)
0xA4,Window Mask Control,RW,Data size: Write / Read = 10 bytes This code has two sets of functions:
0xA5,Window Select,RW,Change the selected window (as defined by 95h 98h).
0xA6,Window Size,RW,Increasing (decreasing) this value will increase (decrease) the size of the window called out by VCP A5
0xA7,Window Transparency,RW,Increasing (decreasing) this value will increase (decrease) the transparency of the window called out by A5
0xAA,Screen Orientation,RO,Indicates the orientation of the screen
0xAC,Horizontal Frequency,RO,Horizontal synchronization signal frequency in Hz as determined by the display.
0xAE,Vertical Frequency,RO,Vertical synchronization signal frequency in 0.01Hz as determined by the display
0xB0,Settings,WO,Store/Restore the user saved values for current mode
0xB2,Flat Panel Sub-Pixel Layout,RO,Indicates the type of LCD sub-pixel structure
0xB4,Source Timing Mode,RW,Indicates the timing mode being sent by the host.
0xB5,Source Color Coding,WO,Allows the host to specify the color coding method that is being used.
0xB6,Display Technology Type,RO,Indicates the base technology type.
0xB7,Monitor Status,RO,Video mode and status of a DPVL capable monitor.
0xB8,Packet Count,RW,Counter for the DPVL packets received (valid and invalid ones). This value counts from 00 00h to FF FFh and then rolls over to 00 00h. The host can reset the value to 00 00h
0xB9,Monitor X Origin,RW,"The X origin of the monitor in the virtual screen. The support of this command indicates the multi-display support of the display. If a display supports this command, the monitor must also support Monitor Y Origin command"
0xBA,Monitor Y Origin,RW,"The Y origin of the display in the virtual screen. The support of this command indicates the multi-display support of the display. If a display supports this command, the monitor must also support Monitor X Origin command"
0xBB,Header Error Count,RW,Error Counter for the DPVL header. The counter value saturates at FF FFh. Host can reset to 00 00h.
0xBC,Body CRC Error Count,RW,CRC error Counter for the DPVL body (containing video data). The counter value saturates at FF FFh. The Host can reset to 00 00h
0xBD,Client ID,RW,Assigned identification number for the monitor. Valid range is 0000h to FF FEh FF FFh is reserved for broadcast.
0xBE,Link Control,RW,Indicates the status of the DVI link
0xC0,Display Usage Time,RO,"Returns the current value (in hours) of active power on time accumulated by the display in the ML, SH and SL bytes"
0xC2,Display Descriptor Length,RO,Returns the length (in bytes) of non-volatile storage in the display available for writing a display descriptor the maximum descriptor length is 256 bytes
0xC3,Transmit Display Descriptor,RW,Allows a display descriptor (up to maximum length defined by the display (see code C2h) to be written (read) to (from) nonvolatile storage in the display.
0xC4,Enable Display of Display Descriptor,RW,"If enabled, the display descriptor written to the display using VCP code C3h must be displayed when no video is being received."
0xC6,Application Enable Key,RO,"A 2-byte value used to allow an application to only operate with known products. The display manufacturer and application author agree to a code such that application will only run when a valid code is present in the display."
0xC7,Display Enable Key,WO,This VCP code has been deprecated. It must NOT be implemented in new designs!
0xC8,Display Controller ID,RO,Contains the ID for the display controller. 1st byte is parsed as the OEM ID, next 3 bytes is a unique chip ID assigned by the OEM.
0xC9,Display Firmware Level,RO,Contains the firmware version of the display. 1st byte is parsed as the revision number. 2nd byte is the major version. 3rd and 4th are unused.
0xCA,OSD / Button Control,RW,Sets and indicates the current operational state of the display OSD and buttons
0xCC,OSD Language,RW,Allows the host to select the display OSD language.
0xCD,Status Indicators (Host),RW,This command provides the capability to control up to 16 LED (or similar) indicators which may be used to indicate aspects of the host system status
0xCE,Auxiliary Display Size,RO,An auxiliary display is a small alphanumeric display associated with the primary display and able to be accessed via the primary display
0xCF,Auxiliary Display Data,WO,An auxiliary display is a small alphanumeric display associated with the primary display and able to be accessed via the primary display.
0xD0,Output Select,RW,"A one byte write/read (Byte 0), allows the host to set (write) one and only one source to output and identify (read) the current output setting"
0xD2,Asset Tag,RW,This VCP codes allows an Asset Tag to be written to a display or read from a display. It also allows for control by the display manufacturer of which applications may write an asset tag.
0xD4,Stereo Video Mode,RW,Used to select the video mode with respect to 2D or 3D video.
0xD6,Power Mode,RW,"Controls the power mode of the display. 0 = Reserved, 1 = On, 2 = Standby, 3 = Suspend, 4 and 5 = Off"
0xD7,Auxiliary Power Output,RW,Controls output of an auxiliary power output from a display to a host device.
0xDA,Scan Mode,RW,Controls the scan characteristics.
0xDB,Image Mode,RW,Controls aspects of the displayed image
0xDC,Display Application,RW,"Select an image preset like Standard, Movie, Games, etc."
0xDE,Scratch Pad,RW,Provides 2 bytes of volatile storage for use of software application(s) leading to more efficient operation.
0xDF,VCP Version,RO,Defines the version number of the MCCS standard recognized by the display.
